City,Insurer,Q1,Q2,Q5a,Q8_1
HYDERABAD,ACKO,7,,,9.0
BANGALORE,HDFC Ergo,9,10.0,,
INDORE,ICICI Lombard,7,,,9.0
HYDERABAD,New India,5,,,7.0
BANGALORE,New India,7,,9.0,9.0
JAIPUR,HDFC Ergo,8,,,9.0
HYDERABAD,HDFC Ergo,5,,8.0,7.0
MUMBAI,ACKO,7,,7.0,8.0
INDORE,HDFC Ergo,10,,,9.0
INDORE,ICICI Lombard,8,,,7.0
HYDERABAD,National Insurance,9,,,7.0
DELHI,ACKO,7,,8.0,8.0
JAIPUR,Tata AIG,9,,9.0,9.0
KANPUR,Tata AIG,10,,8.0,9.0
CHENNAI,Tata AIG,10,9.0,,
HYDERABAD,Tata AIG,9,,10.0,7.0
MUMBAI,Go Digit,10,,9.0,10.0
LUDHIANA,ACKO,2,,3.0,1.0
KOLKATA,HDFC Ergo,7,,,8.0
JAIPUR,National Insurance,9,,,7.0
KANPUR,Go Digit,10,,,9.0
JAIPUR,ICICI Lombard,9,,,9.0
PUNE,Go Digit,9,9.0,,
HYDERABAD,Go Digit,9,,10.0,9.0
PUNE,Tata AIG,7,,,6.0
KANPUR,ACKO,9,,9.0,8.0
BANGALORE,HDFC Ergo,10,,,10.0
JAIPUR,HDFC Ergo,10,,,9.0
INDORE,HDFC Ergo,2,,,5.0
LUDHIANA,New India,5,,,7.0
INDORE,Tata AIG,8,10.0,9.0,
AHMEDABAD,Go Digit,10,,,9.0
KOLKATA,New India,8,,,9.0
MUMBAI,Tata AIG,8,,,6.0
MUMBAI,National Insurance,9,,8.0,7.0
PUNE,New India,10,,,10.0
BANGALORE,Tata AIG,9,,8.0,9.0
HYDERABAD,ACKO,10,8.0,10.0,
INDORE,Tata AIG,9,,9.0,8.0
CHENNAI,New India,5,6.0,,
AHMEDABAD,ICICI Lombard,10,,,8.0
DELHI,ICICI Lombard,5,6.0,,
PUNE,ACKO,7,,7.0,9.0
PUNE,National Insurance,9,,,9.0
LUDHIANA,HDFC Ergo,9,,,10.0
AHMEDABAD,National Insurance,9,,,8.0
KANPUR,Tata AIG,10,,10.0,10.0
LUDHIANA,ICICI Lombard,10,8.0,,
DELHI,New India,8,,,9.0
MUMBAI,ACKO,9,,,10.0
AHMEDABAD,ICICI Lombard,10,8.0,,
LUDHIANA,HDFC Ergo,9,,9.0,9.0
BANGALORE,National Insurance,5,7.0,,
KANPUR,ACKO,9,,,7.0
KOLKATA,New India,7,,,10.0
KANPUR,ICICI Lombard,6,5.0,,
KANPUR,New India,10,,,8.0
KOLKATA,Go Digit,10,,,9.0
LUDHIANA,ICICI Lombard,10,,,9.0
MUMBAI,ICICI Lombard,8,8.0,,
KOLKATA,Bagic,8,,,9.0
KOLKATA,Tata AIG,9,,,10.0
DELHI,ICICI Lombard,9,,,9.0
JAIPUR,National Insurance,10,,10.0,10.0
AHMEDABAD,ACKO,8,,,7.0
CHENNAI,National Insurance,5,,,5.0
INDORE,HDFC Ergo,9,10.0,,
KOLKATA,HDFC Ergo,9,9.0,,
HYDERABAD,National Insurance,9,10.0,10.0,
BANGALORE,ACKO,9,,,9.0
KOLKATA,HDFC Ergo,10,,,10.0
BANGALORE,Go Digit,7,,8.0,7.0
JAIPUR,ICICI Lombard,10,,10.0,10.0
BANGALORE,New India,10,,,10.0
DELHI,National Insurance,6,9.0,,
LUDHIANA,HDFC Ergo,9,,10.0,9.0
INDORE,Go Digit,9,,,10.0
MUMBAI,ACKO,8,,,10.0
DELHI,New India,9,,,9.0
HYDERABAD,National Insurance,10,,10.0,8.0
HYDERABAD,ACKO,5,,5.0,4.0
KOLKATA,Go Digit,10,10.0,,
KOLKATA,ICICI Lombard,8,,,8.0
MUMBAI,New India,7,6.0,4.0,
JAIPUR,National Insurance,10,9.0,,
PUNE,ACKO,9,,,9.0
INDORE,Go Digit,7,,7.0,9.0
HYDERABAD,Tata AIG,10,,9.0,10.0
DELHI,HDFC Ergo,10,,,10.0
JAIPUR,Go Digit,8,,,9.0
DELHI,New India,10,,10.0,8.0
BANGALORE,ICICI Lombard,10,,10.0,9.0
INDORE,National Insurance,10,10.0,10.0,
KOLKATA,Bagic,9,,,8.0
PUNE,HDFC Ergo,9,,,10.0
AHMEDABAD,New India,7,,,10.0
KOLKATA,New India,8,10.0,,
CHENNAI,Tata AIG,9,,,7.0
BANGALORE,New India,9,,,9.0
DELHI,New India,9,,,8.0
KOLKATA,Tata AIG,9,,,9.0
LUDHIANA,ACKO,8,9.0,,
JAIPUR,Bagic,10,9.0,10.0,
MUMBAI,ICICI Lombard,9,10.0,10.0,
HYDERABAD,Go Digit,9,,,7.0
KOLKATA,Tata AIG,9,,,9.0
KOLKATA,HDFC Ergo,3,,4.0,4.0
BANGALORE,HDFC Ergo,10,,,9.0
HYDERABAD,HDFC Ergo,9,,9.0,9.0
HYDERABAD,ICICI Lombard,9,,,6.0
KOLKATA,ACKO,8,,9.0,10.0
MUMBAI,Tata AIG,7,,6.0,8.0
BANGALORE,National Insurance,10,,9.0,10.0
JAIPUR,ICICI Lombard,9,,10.0,10.0
KOLKATA,National Insurance,6,,,5.0
BANGALORE,New India,9,,,10.0
DELHI,ACKO,1,6.0,,
KOLKATA,Go Digit,9,,10.0,8.0
HYDERABAD,Bagic,9,,,6.0
AHMEDABAD,New India,5,,,7.0
JAIPUR,New India,6,,,4.0
INDORE,Tata AIG,8,,10.0,7.0
LUDHIANA,New India,10,,,9.0
KOLKATA,New India,9,,,10.0
AHMEDABAD,ACKO,8,,9.0,9.0
PUNE,National Insurance,9,,8.0,7.0
AHMEDABAD,ICICI Lombard,3,8.0,4.0,
KOLKATA,Tata AIG,9,,,9.0
KANPUR,Tata AIG,8,,,8.0
MUMBAI,Go Digit,7,5.0,9.0,
JAIPUR,ICICI Lombard,9,,,9.0
DELHI,HDFC Ergo,10,9.0,,
CHENNAI,ICICI Lombard,10,,9.0,8.0
DELHI,Tata AIG,10,,,9.0
KANPUR,National Insurance,10,,,9.0
DELHI,HDFC Ergo,7,,,10.0
BANGALORE,ACKO,10,,,9.0
PUNE,New India,9,,,10.0
DELHI,ACKO,8,,,7.0
JAIPUR,Go Digit,9,,10.0,9.0
BANGALORE,Go Digit,4,,5.0,2.0
LUDHIANA,HDFC Ergo,9,,,7.0
KOLKATA,Tata AIG,8,,,7.0
BANGALORE,Bagic,10,,,10.0
INDORE,Bagic,10,,9.0,9.0
MUMBAI,National Insurance,7,,8.0,9.0
PUNE,ICICI Lombard,9,7.0,,
KANPUR,National Insurance,9,,9.0,10.0
AHMEDABAD,HDFC Ergo,7,,,8.0
LUDHIANA,Bagic,10,,,10.0
DELHI,Tata AIG,9,9.0,9.0,
LUDHIANA,National Insurance,9,10.0,,
MUMBAI,Bagic,8,,,7.0
DELHI,National Insurance,10,,,10.0
KOLKATA,Tata AIG,10,,8.0,8.0
JAIPUR,Tata AIG,5,,,6.0
AHMEDABAD,ICICI Lombard,7,,,9.0
JAIPUR,ICICI Lombard,6,3.0,5.0,
AHMEDABAD,National Insurance,5,,5.0,2.0
KANPUR,ACKO,5,,,7.0
JAIPUR,New India,8,,,10.0
CHENNAI,ACKO,3,,5.0,5.0
KANPUR,Go Digit,9,10.0,8.0,
PUNE,Go Digit,10,,,10.0
KANPUR,HDFC Ergo,2,,,4.0
CHENNAI,New India,9,10.0,9.0,
JAIPUR,Bagic,9,,,9.0
KOLKATA,Bagic,9,,,9.0
INDORE,ACKO,7,7.0,9.0,
AHMEDABAD,National Insurance,10,8.0,10.0,
DELHI,Go Digit,8,9.0,,
KANPUR,Tata AIG,9,9.0,10.0,
LUDHIANA,ACKO,2,,,5.0
AHMEDABAD,HDFC Ergo,9,,9.0,9.0
KOLKATA,ICICI Lombard,9,,,9.0
MUMBAI,ACKO,9,10.0,,
BANGALORE,National Insurance,4,,6.0,2.0
CHENNAI,ICICI Lombard,9,,8.0,9.0
MUMBAI,Bagic,10,,,9.0
BANGALORE,ACKO,8,8.0,,
CHENNAI,New India,10,,,10.0
KOLKATA,HDFC Ergo,7,,,10.0
BANGALORE,HDFC Ergo,7,,,8.0
BANGALORE,New India,7,6.0,,
CHENNAI,Bagic,9,,10.0,9.0
MUMBAI,HDFC Ergo,10,,,9.0
HYDERABAD,ICICI Lombard,9,8.0,,
CHENNAI,Tata AIG,9,,10.0,9.0
DELHI,Go Digit,8,,8.0,9.0
AHMEDABAD,National Insurance,8,,,9.0
HYDERABAD,Bagic,9,,,10.0
DELHI,ACKO,9,,,8.0
AHMEDABAD,Go Digit,9,,,10.0
DELHI,HDFC Ergo,7,,9.0,6.0
DELHI,Bagic,9,,9.0,9.0
AHMEDABAD,HDFC Ergo,10,10.0,9.0,
PUNE,Bagic,9,,,9.0
CHENNAI,New India,7,,,6.0
LUDHIANA,Tata AIG,10,,,10.0
DELHI,New India,9,,,8.0
PUNE,ICICI Lombard,8,8.0,,
AHMEDABAD,ICICI Lombard,8,9.0,,
JAIPUR,HDFC Ergo,10,,,9.0
AHMEDABAD,Tata AIG,10,,,8.0
KOLKATA,Bagic,9,,9.0,10.0
PUNE,ACKO,1,,,3.0
HYDERABAD,HDFC Ergo,9,,,8.0
KANPUR,ACKO,9,,,9.0
MUMBAI,HDFC Ergo,9,,7.0,9.0
DELHI,ACKO,7,9.0,,
MUMBAI,HDFC Ergo,9,8.0,,
MUMBAI,New India,10,,10.0,10.0
AHMEDABAD,Go Digit,10,,,9.0
KANPUR,Tata AIG,10,,10.0,9.0
JAIPUR,Go Digit,10,,,9.0
PUNE,National Insurance,9,,,8.0
HYDERABAD,ICICI Lombard,9,,,10.0
DELHI,HDFC Ergo,9,,10.0,8.0
DELHI,HDFC Ergo,8,,,9.0
CHENNAI,New India,9,,8.0,7.0
PUNE,ICICI Lombard,4,,,3.0
KOLKATA,ICICI Lombard,6,,,6.0
HYDERABAD,New India,9,,,10.0
CHENNAI,New India,8,,10.0,9.0
DELHI,Go Digit,10,,9.0,9.0
AHMEDABAD,ICICI Lombard,10,,,10.0
PUNE,ACKO,3,,,2.0
KANPUR,ICICI Lombard,9,9.0,10.0,
PUNE,Bagic,9,9.0,,
MUMBAI,National Insurance,8,,7.0,7.0
DELHI,New India,8,6.0,9.0,
JAIPUR,ICICI Lombard,9,,9.0,9.0
LUDHIANA,National Insurance,10,9.0,9.0,
MUMBAI,HDFC Ergo,8,7.0,10.0,
INDORE,ACKO,7,,9.0,6.0
JAIPUR,ACKO,9,,,7.0
PUNE,Tata AIG,7,,,8.0
BANGALORE,National Insurance,10,,,10.0
MUMBAI,ACKO,8,,,8.0
JAIPUR,National Insurance,10,,,9.0
BANGALORE,Bagic,9,,,10.0
MUMBAI,Bagic,7,,7.0,9.0
BANGALORE,New India,6,,,7.0
DELHI,New India,8,,7.0,10.0
KANPUR,New India,5,6.0,,
INDORE,HDFC Ergo,10,,,9.0
PUNE,HDFC Ergo,7,9.0,,
MUMBAI,ICICI Lombard,9,,10.0,8.0
HYDERABAD,ICICI Lombard,10,,10.0,10.0
INDORE,Go Digit,10,10.0,,
KANPUR,National Insurance,7,,,9.0
CHENNAI,ICICI Lombard,10,,,9.0
DELHI,HDFC Ergo,9,,,9.0
CHENNAI,HDFC Ergo,9,,8.0,10.0
HYDERABAD,Go Digit,9,,10.0,9.0
LUDHIANA,New India,10,,,10.0
JAIPUR,Bagic,5,,,4.0
DELHI,Tata AIG,8,,,6.0
LUDHIANA,Bagic,10,,10.0,10.0
INDORE,ACKO,8,,8.0,8.0
LUDHIANA,Tata AIG,9,,,10.0
AHMEDABAD,HDFC Ergo,9,,,9.0
LUDHIANA,ACKO,9,,,9.0
BANGALORE,New India,10,,,10.0
HYDERABAD,ACKO,9,,8.0,9.0
KANPUR,ICICI Lombard,10,,,9.0
PUNE,National Insurance,10,10.0,9.0,
PUNE,New India,8,,,8.0
LUDHIANA,HDFC Ergo,7,,,7.0
LUDHIANA,Tata AIG,7,,9.0,8.0
KANPUR,Tata AIG,9,,,8.0
KANPUR,Go Digit,7,,8.0,8.0
LUDHIANA,Tata AIG,8,,10.0,8.0
PUNE,ICICI Lombard,7,,,9.0
PUNE,HDFC Ergo,10,,9.0,9.0
KANPUR,ACKO,7,,,8.0
AHMEDABAD,National Insurance,6,,6.0,5.0
KANPUR,Go Digit,9,8.0,,
KANPUR,Tata AIG,9,,,10.0
AHMEDABAD,National Insurance,10,,9.0,10.0
PUNE,Go Digit,10,,,8.0
CHENNAI,Go Digit,8,,7.0,7.0
PUNE,Go Digit,10,9.0,,
MUMBAI,Go Digit,10,,10.0,9.0
PUNE,ICICI Lombard,6,5.0,,
MUMBAI,Bagic,9,,,8.0
CHENNAI,HDFC Ergo,9,,10.0,10.0
DELHI,Go Digit,8,,,10.0
LUDHIANA,ACKO,10,,,9.0
JAIPUR,ACKO,7,9.0,,
MUMBAI,Tata AIG,8,,,9.0
HYDERABAD,HDFC Ergo,10,10.0,,
INDORE,ACKO,5,,,7.0
INDORE,New India,10,,,10.0
MUMBAI,National Insurance,9,,,8.0
KOLKATA,Tata AIG,10,,,9.0
DELHI,Tata AIG,9,,,9.0
JAIPUR,National Insurance,6,,,5.0
HYDERABAD,ICICI Lombard,10,,9.0,10.0
BANGALORE,ICICI Lombard,9,,,9.0
PUNE,ICICI Lombard,10,,,10.0
LUDHIANA,HDFC Ergo,7,8.0,9.0,
PUNE,Bagic,9,10.0,9.0,
MUMBAI,New India,10,8.0,9.0,
INDORE,Bagic,7,8.0,,
AHMEDABAD,Bagic,10,,,9.0
AHMEDABAD,HDFC Ergo,10,,,9.0
INDORE,New India,9,,,9.0
BANGALORE,National Insurance,7,,9.0,8.0
JAIPUR,Tata AIG,9,,8.0,9.0
KANPUR,Go Digit,9,,8.0,10.0
MUMBAI,National Insurance,5,,,8.0
JAIPUR,Go Digit,10,,10.0,10.0
KOLKATA,New India,1,4.0,3.0,
PUNE,Go Digit,9,10.0,,
KANPUR,Tata AIG,9,,,9.0
KOLKATA,Bagic,10,,,9.0
AHMEDABAD,Tata AIG,9,,,9.0
KANPUR,HDFC Ergo,10,,10.0,9.0
BANGALORE,New India,9,,,9.0
MUMBAI,National Insurance,10,,9.0,8.0
INDORE,New India,9,,10.0,10.0
LUDHIANA,Go Digit,9,,,9.0
AHMEDABAD,ACKO,10,,9.0,10.0
LUDHIANA,HDFC Ergo,9,8.0,,
LUDHIANA,Go Digit,10,9.0,,
BANGALORE,ACKO,10,,,9.0
KOLKATA,New India,10,,,9.0
KANPUR,ICICI Lombard,9,,,9.0
PUNE,ICICI Lombard,8,8.0,,
KANPUR,ICICI Lombard,9,,,10.0
BANGALORE,HDFC Ergo,4,,,5.0
DELHI,Go Digit,1,6.0,,
LUDHIANA,Bagic,8,,7.0,7.0
MUMBAI,HDFC Ergo,6,,4.0,7.0
MUMBAI,ACKO,10,10.0,,
KANPUR,HDFC Ergo,9,,,10.0
INDORE,HDFC Ergo,7,7.0,,
CHENNAI,ICICI Lombard,10,,9.0,9.0
KOLKATA,ICICI Lombard,10,,,9.0
CHENNAI,New India,10,,,10.0
LUDHIANA,Tata AIG,9,10.0,,
BANGALORE,HDFC Ergo,10,,,10.0
AHMEDABAD,ICICI Lombard,8,,,9.0
BANGALORE,ACKO,10,8.0,,
KOLKATA,Tata AIG,9,10.0,,
BANGALORE,ACKO,10,,,8.0
MUMBAI,Bagic,9,,,6.0
BANGALORE,National Insurance,10,10.0,9.0,
AHMEDABAD,Tata AIG,10,,9.0,9.0
DELHI,National Insurance,4,,,4.0
INDORE,New India,10,10.0,,
AHMEDABAD,ICICI Lombard,10,,9.0,8.0
KOLKATA,Go Digit,10,,,9.0
KOLKATA,Tata AIG,7,,,7.0
KOLKATA,Go Digit,10,,8.0,10.0
BANGALORE,National Insurance,9,,,10.0
DELHI,Bagic,9,,,9.0
AHMEDABAD,New India,4,,4.0,7.0
BANGALORE,Bagic,9,,10.0,9.0
KOLKATA,New India,3,,4.0,4.0
AHMEDABAD,ICICI Lombard,10,,,10.0
JAIPUR,ICICI Lombard,8,,,10.0
HYDERABAD,Go Digit,9,10.0,8.0,
HYDERABAD,HDFC Ergo,9,,,7.0
MUMBAI,New India,8,,,10.0
DELHI,National Insurance,10,,,9.0
CHENNAI,HDFC Ergo,10,9.0,,
HYDERABAD,Bagic,9,10.0,9.0,
MUMBAI,Go Digit,9,,,9.0
JAIPUR,Go Digit,9,10.0,,
JAIPUR,New India,8,,7.0,7.0
AHMEDABAD,ICICI Lombard,5,,,4.0
INDORE,Go Digit,9,,,10.0
AHMEDABAD,Tata AIG,9,10.0,,
CHENNAI,ICICI Lombard,9,,9.0,9.0
LUDHIANA,Tata AIG,9,8.0,,
CHENNAI,Go Digit,10,,,8.0
LUDHIANA,Bagic,9,,,9.0
INDORE,ACKO,10,7.0,,
KANPUR,Go Digit,10,10.0,,
LUDHIANA,National Insurance,5,,5.0,5.0
KANPUR,New India,8,,,6.0
CHENNAI,National Insurance,7,,,8.0
CHENNAI,Tata AIG,10,,,9.0
BANGALORE,New India,9,9.0,,
AHMEDABAD,Go Digit,9,,,8.0
KANPUR,New India,10,,,10.0
INDORE,National Insurance,10,9.0,,
BANGALORE,Tata AIG,7,7.0,5.0,
PUNE,HDFC Ergo,10,,10.0,9.0
BANGALORE,Tata AIG,9,,10.0,10.0
CHENNAI,Go Digit,8,,,10.0
MUMBAI,ICICI Lombard,9,,7.0,8.0
INDORE,New India,5,8.0,,
JAIPUR,ACKO,10,,9.0,9.0
LUDHIANA,National Insurance,9,10.0,,
BANGALORE,Tata AIG,8,9.0,9.0,
INDORE,National Insurance,10,,,9.0
KOLKATA,Go Digit,8,,9.0,9.0
MUMBAI,Go Digit,10,10.0,,
PUNE,ICICI Lombard,4,,,5.0
INDORE,Tata AIG,9,,7.0,9.0
KOLKATA,ACKO,10,10.0,,
BANGALORE,ACKO,10,,9.0,8.0
PUNE,Tata AIG,8,,,7.0
PUNE,National Insurance,4,,4.0,4.0
KOLKATA,HDFC Ergo,9,,,9.0
CHENNAI,National Insurance,9,,,9.0
MUMBAI,Go Digit,5,7.0,7.0,
KANPUR,Tata AIG,10,8.0,,
JAIPUR,Bagic,10,,,10.0
LUDHIANA,HDFC Ergo,9,,,9.0
AHMEDABAD,ACKO,8,,,7.0
AHMEDABAD,Go Digit,9,,,8.0
PUNE,Go Digit,7,,7.0,8.0
KOLKATA,National Insurance,10,,9.0,9.0
CHENNAI,HDFC Ergo,8,,,9.0
KOLKATA,New India,3,7.0,,
KOLKATA,ACKO,9,,,8.0
HYDERABAD,HDFC Ergo,10,,9.0,9.0
DELHI,Go Digit,10,,,10.0
KOLKATA,HDFC Ergo,9,10.0,,
DELHI,Go Digit,3,,,3.0
KOLKATA,Bagic,10,,,10.0
BANGALORE,Bagic,9,,,9.0
KOLKATA,New India,9,,,7.0
MUMBAI,ICICI Lombard,6,,,7.0
AHMEDABAD,Bagic,10,,10.0,9.0
DELHI,HDFC Ergo,9,,,9.0
MUMBAI,HDFC Ergo,7,,,9.0
KOLKATA,National Insurance,9,,,9.0
AHMEDABAD,Tata AIG,10,,,8.0
CHENNAI,Bagic,10,9.0,,
INDORE,ICICI Lombard,7,,,9.0
CHENNAI,Tata AIG,9,10.0,10.0,
PUNE,Bagic,9,,9.0,9.0
HYDERABAD,ACKO,10,,,9.0
LUDHIANA,ICICI Lombard,7,7.0,,
KANPUR,ACKO,9,,10.0,8.0
KANPUR,Go Digit,10,,9.0,9.0
HYDERABAD,New India,7,8.0,9.0,
KOLKATA,ICICI Lombard,8,,,9.0
BANGALORE,National Insurance,7,,,6.0
PUNE,Tata AIG,10,10.0,,
HYDERABAD,Tata AIG,8,7.0,,
HYDERABAD,ACKO,10,,,9.0
KANPUR,Tata AIG,10,,,8.0
BANGALORE,National Insurance,6,,,7.0
JAIPUR,New India,8,,10.0,9.0
KOLKATA,New India,10,,,10.0
DELHI,New India,8,,9.0,9.0
MUMBAI,Tata AIG,9,,,9.0
INDORE,Tata AIG,10,,,9.0
KOLKATA,New India,5,,3.0,5.0
BANGALORE,New India,7,,,10.0
AHMEDABAD,ACKO,2,,,4.0
MUMBAI,Bagic,8,,,7.0
INDORE,National Insurance,7,,,10.0
MUMBAI,ICICI Lombard,9,,,9.0
KANPUR,ICICI Lombard,9,,,10.0
HYDERABAD,HDFC Ergo,10,10.0,,
HYDERABAD,National Insurance,9,9.0,9.0,
INDORE,National Insurance,10,,,10.0
BANGALORE,HDFC Ergo,9,7.0,,
MUMBAI,Bagic,9,,10.0,10.0
HYDERABAD,National Insurance,7,,,9.0
KANPUR,ICICI Lombard,9,,9.0,9.0
AHMEDABAD,Bagic,10,,,8.0
INDORE,New India,10,,,8.0
INDORE,National Insurance,7,8.0,,
KOLKATA,Bagic,9,,,9.0
JAIPUR,Go Digit,9,10.0,10.0,
INDORE,Go Digit,10,,,9.0
INDORE,Go Digit,10,,,10.0
KOLKATA,National Insurance,9,,,10.0
HYDERABAD,New India,7,,,6.0
CHENNAI,Bagic,9,,,9.0
KANPUR,Go Digit,9,10.0,,
JAIPUR,Go Digit,7,,,7.0
HYDERABAD,National Insurance,10,,,9.0
PUNE,ACKO,10,,,10.0
MUMBAI,New India,10,,,9.0
DELHI,HDFC Ergo,8,,,9.0
CHENNAI,Tata AIG,10,,,10.0
LUDHIANA,ICICI Lombard,9,,9.0,9.0
MUMBAI,National Insurance,8,9.0,,
INDORE,ACKO,7,6.0,,
KOLKATA,New India,10,,,9.0
KOLKATA,HDFC Ergo,8,8.0,9.0,
LUDHIANA,National Insurance,9,,9.0,9.0
LUDHIANA,ICICI Lombard,10,,10.0,10.0
MUMBAI,New India,10,,,8.0
INDORE,Tata AIG,1,,,3.0
MUMBAI,New India,8,,,9.0
PUNE,New India,5,,,8.0
KOLKATA,ICICI Lombard,8,8.0,,
KOLKATA,ACKO,7,,,9.0
KANPUR,HDFC Ergo,5,,6.0,8.0
MUMBAI,ICICI Lombard,9,,,9.0
CHENNAI,HDFC Ergo,9,,,9.0
BANGALORE,ACKO,10,,9.0,9.0
BANGALORE,New India,9,,,7.0
HYDERABAD,HDFC Ergo,10,,9.0,9.0
AHMEDABAD,Go Digit,10,,,10.0
HYDERABAD,Tata AIG,9,,9.0,9.0
CHENNAI,ACKO,8,,7.0,7.0
JAIPUR,Bagic,10,,,10.0
DELHI,ICICI Lombard,9,,,8.0
MUMBAI,New India,8,,,8.0
AHMEDABAD,ICICI Lombard,9,,,8.0
JAIPUR,ACKO,10,10.0,10.0,
CHENNAI,Bagic,10,,,10.0
KANPUR,Go Digit,10,,10.0,9.0
PUNE,National Insurance,7,7.0,7.0,
DELHI,Bagic,9,,,7.0
CHENNAI,New India,8,,,9.0
AHMEDABAD,Go Digit,9,,,8.0
LUDHIANA,Bagic,9,10.0,10.0,
MUMBAI,Tata AIG,9,,,10.0
LUDHIANA,New India,10,,,8.0
JAIPUR,ICICI Lombard,7,,5.0,9.0
CHENNAI,New India,9,10.0,10.0,
HYDERABAD,ACKO,10,9.0,,
HYDERABAD,ICICI Lombard,10,10.0,,
PUNE,National Insurance,9,,,8.0
KOLKATA,New India,9,9.0,,
BANGALORE,New India,9,,,8.0
DELHI,New India,10,,,9.0
DELHI,Bagic,9,,,9.0
HYDERABAD,Bagic,10,,10.0,10.0
MUMBAI,National Insurance,10,,8.0,8.0
BANGALORE,Go Digit,10,,,10.0
KOLKATA,ACKO,7,9.0,10.0,
CHENNAI,Tata AIG,7,,,8.0
KANPUR,Tata AIG,10,,,9.0
CHENNAI,Bagic,9,,,10.0
CHENNAI,Bagic,10,,,9.0
AHMEDABAD,Go Digit,10,,10.0,9.0
PUNE,ACKO,7,,,9.0
LUDHIANA,ICICI Lombard,5,,7.0,8.0
HYDERABAD,ICICI Lombard,10,,,10.0
BANGALORE,Go Digit,8,,,10.0
LUDHIANA,HDFC Ergo,8,,,10.0
HYDERABAD,Bagic,9,9.0,,
JAIPUR,Go Digit,10,,,10.0
KOLKATA,ACKO,8,,,9.0
AHMEDABAD,Bagic,8,9.0,,
BANGALORE,Tata AIG,10,,8.0,10.0
PUNE,Bagic,8,6.0,,
HYDERABAD,HDFC Ergo,9,,,9.0
KANPUR,Bagic,9,10.0,,
PUNE,National Insurance,5,,,3.0
LUDHIANA,Go Digit,10,,,9.0
PUNE,Tata AIG,10,,,8.0
LUDHIANA,Tata AIG,10,,,9.0
CHENNAI,HDFC Ergo,9,,,10.0
HYDERABAD,ICICI Lombard,10,,9.0,9.0
DELHI,Bagic,8,,8.0,9.0
PUNE,Tata AIG,9,,,10.0
AHMEDABAD,Go Digit,3,,,3.0
JAIPUR,ACKO,9,,,9.0
BANGALORE,Bagic,10,,,10.0
KOLKATA,HDFC Ergo,10,,9.0,9.0
HYDERABAD,ACKO,10,9.0,,
BANGALORE,HDFC Ergo,6,,,8.0
INDORE,HDFC Ergo,9,,10.0,9.0
JAIPUR,Tata AIG,10,,,10.0
MUMBAI,Go Digit,9,,9.0,8.0
BANGALORE,ACKO,6,,,6.0
MUMBAI,HDFC Ergo,7,,9.0,8.0
HYDERABAD,Tata AIG,9,,7.0,9.0
KANPUR,Tata AIG,8,,9.0,10.0
KOLKATA,Tata AIG,7,,,6.0
HYDERABAD,ICICI Lombard,8,,,10.0
HYDERABAD,Bagic,10,,,9.0
LUDHIANA,Bagic,9,,,9.0
KOLKATA,New India,9,,10.0,9.0
BANGALORE,Go Digit,9,,,10.0
BANGALORE,ICICI Lombard,7,,,10.0
INDORE,HDFC Ergo,9,,,9.0
DELHI,HDFC Ergo,10,,,9.0
DELHI,Tata AIG,9,,,9.0
LUDHIANA,ICICI Lombard,9,,,7.0
INDORE,ACKO,7,,,6.0
INDORE,Go Digit,9,,,9.0
PUNE,Tata AIG,8,,10.0,8.0
INDORE,Bagic,9,8.0,,
MUMBAI,Tata AIG,9,,,10.0
LUDHIANA,ACKO,8,9.0,,
AHMEDABAD,Bagic,8,9.0,,
DELHI,ICICI Lombard,6,,8.0,6.0
MUMBAI,Tata AIG,10,,,9.0
CHENNAI,Bagic,7,,,10.0
BANGALORE,Tata AIG,9,10.0,,
AHMEDABAD,ACKO,9,,,9.0
JAIPUR,National Insurance,9,,,8.0
KOLKATA,Go Digit,10,10.0,,
HYDERABAD,Go Digit,3,,,1.0
HYDERABAD,National Insurance,10,9.0,10.0,
DELHI,HDFC Ergo,9,10.0,9.0,
KOLKATA,New India,4,,2.0,8.0
CHENNAI,ICICI Lombard,8,,,6.0
INDORE,ACKO,9,10.0,,
DELHI,Go Digit,10,,9.0,10.0
LUDHIANA,Go Digit,9,,9.0,7.0
JAIPUR,New India,8,,,7.0
DELHI,HDFC Ergo,10,,10.0,9.0
PUNE,ACKO,6,,,6.0
DELHI,Go Digit,8,,9.0,9.0
KANPUR,Tata AIG,7,,,9.0
KOLKATA,ICICI Lombard,9,,,8.0
MUMBAI,Bagic,10,,9.0,10.0
JAIPUR,HDFC Ergo,8,,,6.0
KANPUR,ACKO,9,,9.0,9.0
DELHI,HDFC Ergo,9,10.0,7.0,
LUDHIANA,Go Digit,10,,9.0,9.0
INDORE,ICICI Lombard,10,,,9.0
AHMEDABAD,ACKO,7,7.0,,
PUNE,ACKO,9,9.0,9.0,
BANGALORE,Tata AIG,10,,,10.0
JAIPUR,Tata AIG,7,,,7.0
KANPUR,New India,8,,,9.0
JAIPUR,Go Digit,10,,,8.0
PUNE,Go Digit,10,,9.0,10.0
AHMEDABAD,Tata AIG,10,10.0,8.0,
MUMBAI,New India,9,,10.0,8.0
LUDHIANA,HDFC Ergo,8,7.0,10.0,
JAIPUR,New India,9,,,9.0
KANPUR,ACKO,9,,,7.0
CHENNAI,New India,10,,,10.0
KOLKATA,HDFC Ergo,10,,,9.0
DELHI,Bagic,10,8.0,10.0,
